customerID,Recency,Frequency,Monetary,Cluster,Segment
12346,326,17,-51.74,1,Churned / Problematic / Inactive
12348,76,5,2019.4,0,Moderately Active / Potential Loyalists
12350,311,1,334.4,2,Lost / At-Risk Customers
12351,376,1,300.93,2,Lost / At-Risk Customers
12352,73,13,1889.21,3,Best / Loyal Customers
12353,205,2,406.76,0,Moderately Active / Potential Loyalists
12354,233,1,1079.4,0,Moderately Active / Potential Loyalists
12355,96,2,947.61,0,Moderately Active / Potential Loyalists
12358,3,4,3203.87,0,Moderately Active / Potential Loyalists
12361,288,4,511.25,0,Moderately Active / Potential Loyalists
12363,36,2,552.0,0,Moderately Active / Potential Loyalists
12364,41,4,1313.1,0,Moderately Active / Potential Loyalists
12365,292,3,320.69,2,Lost / At-Risk Customers
12366,634,1,500.24,2,Lost / At-Risk Customers
12368,629,1,917.7,2,Lost / At-Risk Customers
12369,414,3,1791.15,2,Lost / At-Risk Customers
12372,35,3,1298.04,0,Moderately Active / Potential Loyalists
12373,342,3,1127.65,2,Lost / At-Risk Customers
12374,26,4,2989.22,0,Moderately Active / Potential Loyalists
12375,11,2,457.5,0,Moderately Active / Potential Loyalists
12376,390,2,503.15,2,Lost / At-Risk Customers
12377,316,4,3426.32,0,Moderately Active / Potential Loyalists
12379,82,5,1618.27,0,Moderately Active / Potential Loyalists
12381,0,5,1656.95,0,Moderately Active / Potential Loyalists
12382,683,1,-18.38,1,Churned / Problematic / Inactive
12383,9,6,1839.31,3,Best / Loyal Customers
12384,29,3,566.16,0,Moderately Active / Potential Loyalists
12385,380,2,1923.4,2,Lost / At-Risk Customers
12386,192,2,401.9,0,Moderately Active / Potential Loyalists
12387,416,1,143.94,2,Lost / At-Risk Customers
12389,568,3,1433.33,2,Lost / At-Risk Customers
12390,80,1,549.84,0,Moderately Active / Potential Loyalists
12391,22,7,2699.24,3,Best / Loyal Customers
12392,592,1,234.75,2,Lost / At-Risk Customers
12393,39,7,2376.75,3,Best / Loyal Customers
12394,153,2,1272.48,0,Moderately Active / Potential Loyalists
12396,648,1,931.43,2,Lost / At-Risk Customers
12397,136,2,2409.9,0,Moderately Active / Potential Loyalists
12398,46,1,1635.66,0,Moderately Active / Potential Loyalists
12399,2,7,1962.3,3,Best / Loyal Customers
12400,415,1,205.25,2,Lost / At-Risk Customers
12401,99,1,84.3,0,Moderately Active / Potential Loyalists
12402,324,7,1244.15,3,Best / Loyal Customers
12403,50,3,1001.36,0,Moderately Active / Potential Loyalists
12404,683,1,63.24,2,Lost / At-Risk Customers
12405,149,1,1710.39,0,Moderately Active / Potential Loyalists
12407,50,5,1708.12,0,Moderately Active / Potential Loyalists
12410,38,4,1001.46,0,Moderately Active / Potential Loyalists
12411,410,1,346.9,2,Lost / At-Risk Customers
12412,75,8,2581.03,3,Best / Loyal Customers
12413,9,6,935.5,0,Moderately Active / Potential Loyalists
12414,188,8,692.41,3,Best / Loyal Customers
12416,657,1,202.56,2,Lost / At-Risk Customers
12418,113,5,2016.95,0,Moderately Active / Potential Loyalists
12419,386,2,503.01,2,Lost / At-Risk Customers
12420,153,1,600.39,0,Moderately Active / Potential Loyalists
12421,16,8,1092.83,3,Best / Loyal Customers
12423,101,10,2403.55,3,Best / Loyal Customers
12424,163,7,3289.78,3,Best / Loyal Customers
12425,79,3,1680.81,0,Moderately Active / Potential Loyalists
12426,195,3,1311.41,0,Moderately Active / Potential Loyalists
12427,12,5,708.37,0,Moderately Active / Potential Loyalists
12430,44,1,256.4,0,Moderately Active / Potential Loyalists
12434,85,5,1062.48,0,Moderately Active / Potential Loyalists
